title,company,location,posted_before,application_number,detail,description,url
Vi söker personliga assistenter till två aktiva syskon i Luleå - extrajobb!,God Assistans i Mitt AB,"Luleå, Norrbotten County, Sweden",2 weeks ago,0 people clicked apply,"On-site Full-time Entry level
Skills: Urdu, AV, +5 more","About the job
This job is sourced from a job board. Learn More
God Assistans bedriver personlig assistans för kunder över hela Sverige. Vi är ett företag med stort hjärta och hög kompetens som brinner för det vi gör och har lång erfarenhet inom assistans. Att värna om våra medarbetare och förenkla tillvaron för våra kunder är kärnan i vår verksamhet som kännetecknas av personligt bemötande, hög tillgänglighet och snabb service. Läs gärna mer om oss på vår hemsida: www.godassistans.se Vi söker dig som vill jobba extra och tjänsten passar dig som har annat jobb på sidan om eller studerar.

Vi söker hjälp till två barn i samma hushåll, kan vara aktuellt att vara anställd åt båda barnen för att kunna variera att jobba med ena ibland och den andra vissa gånger eller enbart jobba med ett av barnen.

Vi ser gärna att du är van vid att bemöta personer med utåtagerande beteende samt har erfarenhet från arbete med autistiska personer. Du måste vara positiv och tycka att det är kul att hitta på aktiviteter tillsammans med kunderna. Som person är du lugn och flexibel samt har gott om tålamod för att kunna ge personerna den trygghet som dom behöver. Arbetet innebär allt från att göra aktiviteter tillsammans med barnen till att hjälpa med den personliga hygienen och övriga vardagsrutiner. Barnen behöver fysisk aktiviter dagligen under sommar t.ex cykla, promenad eller simning.

Barnen kan inte kommunicera via tal och därför kommer kurs i teckenspråk att erbjudas i framtiden. Du måste ha ett intresse för att hitta olika sätt att kommunicera med kund och vara uppmärksam på behoven av hjälp och stöd.

Arbetstiderna är till största del förlagda till kvällar och helger då kunderna inte har någon assistans under skoltid. När det är lov från skolan kan arbetstiderna förändras till dagtid. Om du talar urdu eller kan några ord så är det en fördel eftersom familjen kommer från Pakistan. Övrigt: God assistans månar om sina assistenter, har kollektivavtal och erbjuder friskvårdsbidrag på upp till 4000:- /år.

Vi kommer vilja se kopia på pass (SV) eller uppehållskort (EU) eller uppehålls-och arbetstillstånd/LMA-kort (utanför EU)

Enligt lagen om registerkontroll ska den som arbetar med minderåriga uppvisa ett utdrag ur polisens brotts- och misstankeregister innan anställning. Du beställer själv registerutdraget (enligt God Assistans policy kräver vi belastningsutdraget för arbete på HVB-hem då den visar mer information än LSS) från polisens hemsida, blankett finner du här: https://polisen.se/tjanster-tillstand/belastningsregistret/hvb-hem/",https://www.linkedin.com/jobs/search/?currentJobId=4271540252&keywords=&location=Sweden&start=625
IT Support Technician (1st & 2nd Line Support),Consilium Safety Group,"Gothenburg, Västra Götaland County, Sweden",Reposted 3 weeks ago,Over 100 people clicked apply,"On-site Full-time Mid-Senior level
Skills: Office 365 Programs, Troubleshooting, +8 more","About the job
Consilium Safety Group is a world-leading solution provider of fire and gas safety technologies for the marine, energy, transport, and building sectors. By combining deep safety expertise with intelligent detection, we help protect lives, assets, and the planet through cutting-edge technology.

What started in 1912 has today become an international company driven by innovation and purpose. Headquartered in Gothenburg, we operate from more than 55 offices worldwide and strive to be a great place to grow — for both people and technology.

With a market-leading position, a robust foundation, and a pioneering mindset, we are now transforming and shaping the future of our industry, with the ambition to become #1 in Safety-Tech.

The Opportunity

We are looking for an experienced and hands-on IT Support Technician to join our dynamic IT team in Gothenburg. In this role, you will provide 1st & 2nd Line Technical Support to our internal users across the business. This is a broad and varied position where you will play an important part in ensuring the quality and efficiency of our IT support.

Your Responsibilities

As part of our Service Desk, you will be the Single Point of Contact for incoming IT support matters via our ITSM system and over the phone. You will:

Categorize, prioritize, troubleshoot, and escalate incidents and service requests when needed
Document and maintain knowledge base articles to continuously improve internal IT support
Manage a mix of hardware and software troubleshooting for PCs, telephony, network components, and other IT equipment
Support and maintain basic Active Directory/Entra, Office 365, and ExchangeOnline environments
Work with LAN/WAN network troubleshooting
Collaborate with other IT and project teams to ensure excellent service delivery
Play an active role in follow-up and completion of IT-related projects as new systems or upgrades are introduced to the business

This is a highly collaborative role where you will interact with colleagues across departments and countries. The work requires both structure and flexibility — sometimes you will switch between routine tasks and project-based work.

You will thrive in this role if you are service-oriented, proactive, and eager to continuously develop both yourself and our IT support processes.

Who are we looking for?

We believe you are a quality-driven, flexible, and detail-oriented professional who takes ownership of your work and ensures timely, efficient service delivery. You are naturally service-minded, with a positive attitude and strong communication skills.

Key qualifications:

Relevant IT education and minimum 3 years of experience in IT Support / Technical Support
Solid troubleshooting experience with hardware and software for PCs, telephony, and related IT equipment
Basic knowledge of Active Directory (AD) and EntraID
Basic understanding of MS Exchange (experience is a plus)
Basic LAN/WAN network troubleshooting skills
Familiarity with Office 365 and Microsoft applications
Fluent in English and Swedish, both written and spoken

Bonus experience:

Knowledge of Azure
Experience in documentation and contributing to IT process improvements
Interest or experience in IT project follow-up and coordination

Why join us?

Since our founding, our core mission has remained the same — to save lives through technology. We aim to be a Great Place to Grow, both for our people and for their careers.

Our values guide us every day:

I take responsibility – I take initiative
We deliver
One global team

We foster an open, supportive, and collaborative culture where individuals are valued and encouraged to contribute. You'll join a team with broad responsibilities, exposure to diverse technologies, and the opportunity to support not only day-to-day IT needs but also contribute to IT-driven business projects and improvements.

Ready to Shape the Future of Safety?

If you’re ready to bring your skills, energy, and ideas to a growing global company in an important industry — apply today and join us on our journey to becoming #1 in Safety-Tech!",https://www.linkedin.com/jobs/search/?currentJobId=4257916138&keywords=&location=Sweden&start=625
Skådespelare till Jul på Liseberg 2025.,Liseberg,"Gothenburg, Västra Götaland County, Sweden",1 day ago,0 people clicked apply,"Full-time
Skills: Microsoft Excel, TV, +8 more","About the job
Ett vanligt jobb. Fast mer wiiie! Sedan 1923 har vi fått människor att mötas, skratta och trivas tillsammans. Snart är det din tur att vara med. Hos oss jobbar du inte bara i en nöjespark – du jobbar i en hel värld av upplevelser: Karuseller, musik, god mat, hotell, show, trädgårdar, camping – och snart ett helt nytt vattenvärld. Vi har öppet året om, i olika säsonger och olika tempo – men glädjen finns alltid där. Och det är just du som är med och skapar den. Här är jobbet både stort och smått, vardagligt och wiiie, fullt av fart men med plats för eftertanke. Ett vanligt jobb. Fast mer wiiie! Vi ger dig detta (och lite till!) Vardag och wiiie. Här är jobbet både kul och på riktigt. Du gör skillnad – oavsett om du jobbar mitt i pulsen eller bakom kulisserna. Kollegor och kvarterskänsla. Här finns experter på allt från snurrande åk till smarta excel-dokument. Olika jobb, olika hörn av samma varma kvarter. Värde före vinst. Vi ägs av staden. Det du gör bidrar till något större än oss själva. Mod och metod. Vi testar nytt – men alltid med hållbarhet i fokus. Att ligga i framkant kräver både idéer och eftertanke. Här finns båda.

Du är en i gänget

Hos Parkunderhållning på Liseberg blir du en del av ett kreativt och hjärtligt team som tillsammans skapar magi för våra gäster. Under Jul på Liseberg förvandlas parken till ett vinterland där du som skådespelare får vara med och sprida glädje, skratt och julstämning – både på scen och i mötet med våra besökare.

Så ser en Vaaanlig dag ut

Som skådespelare hos oss medverkar du i föreställningar i Nissestugan (Lilla Scen) och improviserar i det tematiserade området Tomtebyn. En vanlig dag innehåller:

Uppvärmning och förberedelser
Föreställningar enligt schema
Improviserade möten med gäster
Återställning av scen och kostym


Dagens to-do: skapa magi. 

Detta gör du genom att:

Leverera manusbundna och regisserade föreställningar med energi och precision
Improvisera med värme och humor i mötet med våra gäster


Passar vi ihop?

Vi söker dig som:

Har yrkesutbildning och/eller professionell erfarenhet inom teater, dans eller sång
Har goda kunskaper i teaterimprovisation
Är en stark sångare med vana av stämsång
Har sväng i tassen och gillar att spela komik


Bra att veta

Du arbetar enligt parkens öppettider, vilket innebär både vardagar och helger, dagtid och kvällstid. Tjänsten är en säsongsanställning från början av november till slutet av december 2025.
Tjänsten omfattas av kommunals avtalsområde
Audition hålls dagtid den 1 september på Liseberg (fysiskt tillfälle)
Sista ansökningsdag är 24 augusti, men vi kallar löpande – så vänta inte!
Tjänsten omfattas av kommunals avtalsområde
Vid frågor, kontakta områdeschef Isabelle Widing på 031-766 7387


På vår hemsida www.liseberg.se kan du läsa mer om oss som arbetsplats.

Ta första steget och skicka in din ansökan!

Anställningsform: sommarjobb/säsongsanställning | Anställningens omfattning: heltid/deltid | Antal lediga befattningar: 1 | Sysselsättningsgrad: 0 | Ort: Göteborg | Län: Västra Götalands län | Land: Sweden | Referensnummer: 2025/133 | Facklig företrädare: Mikael Berge, HRF , Bosse Nordlander, Kommunal kommunal.vast@liseberg.se, Ewa Woldemar, Unionen unionen@liseberg.se, | Publicerat: 2025-08-07 | Sista ansökningsdag: 2025-08-24",https://www.linkedin.com/jobs/search/?currentJobId=4279490701&keywords=&location=Sweden&start=625
43945 Tysktalande nanny sökes till familj på Östermalm,VIVBON AB,"Stockholm, Stockholm County, Sweden",3 days ago,0 people clicked apply,"On-site Part-time Entry level
Skills: English, Communication, +8 more","About the job
This job is sourced from a job board. Learn More
En trevlig familj boende på Östermalm söker en engagerad och pålitlig nanny för sin 2-åriga son. Uppdraget omfattar 2–3 dagar i veckan, ca 3 timmar per tillfälle.

Dina ansvarsområden är att ta hand om pojken och enklare hushållssysslor. Familjen vill gärna att du talar tyska med sonen och

du bör också kunna kommunicera på svenska eller engelska.

Vi söker dig som:

Är ansvarstagande och barnkär
Talar tyska, samt svenska eller engelska
Har erfarenhet av barn i förskoleåldern
Är ordningsam och kan hjälpa till med lättare hushållsarbete

Låter det här som något för dig eller någon du känner?

Tjänsten startar så snart vi hittat rätt person så skicka in din ansökan redan idag!

A lovely family living in Östermalm are looking for a dedicated and reliable nanny for their 2-year-old son. The assignment covers 2-3 days a week, about 3 hours per occasion.

Your responsibilities are to take care of the boy and simple household chores. The family would like you to speak German with their son and you should also be able to communicate in Swedish or English.

We are looking for someone who:

Is responsible and love children
Speak German, as well as Swedish or English
Have experience with preschool-aged children
Is tidy and can help with light housework

Does this sound like something for you or someone you know?

The job starts as soon as we find the right person so submit your application today!",https://www.linkedin.com/jobs/search/?currentJobId=4281144359&keywords=&location=Sweden&start=625
Vi söker en skolkurator,Gluntens Montessoriskola,"Uppsala, Uppsala County, Sweden",2 days ago,0 people clicked apply,"On-site Full-time Entry level
Skills: Swedish, Special Education, +8 more","About the job
This job is sourced from a job board. Learn More
Vi söker dig som är utbildad kurator, gärna med erfarenhet från arbete i skola eller med barn och ungdomar. Du är ansvarstagande och trygg i din vuxenroll samt har förmågan att möta varje barn individuellt. Det är viktigt att du kan agera professionellt och tålmodigt även i svåra och pressade situationer. Du har en god samarbetsförmåga och relaterar till andra på ett lyhört och smidigt sätt samtidigt som du är duktig på att bygga och behålla relationer med elever, kollegor och föräldrar.

Som skolkurator ingår du i vårt Elevhälsoteam som också består av specialpedagoger, socialpedagog, rektor och skolsköterska.

Enskilda- och gruppsamtal med elever samt kontakt med Vårdnasahavare och Socialtjänsten ingår i arbetsuppgifterna.

Tjänsten är en tillsvidaretjänst på 70%.

Din ansökan ska innehålla ditt CV och ett personligt brev.

God svenska i tal och skrift är ett krav.

Tillträde enligt överenskommelse

Månadslön enligt överenskommelse

Vi tillämpar 6 månaders provanställning

Välkommen med din ansökan redan idag! 

Då urval och intervjuer sker löpande kan tjänsterna komma att tillsättas före sista ansökningsdag.

Sista ansökningsdag 2025-08-17

Gluntens Montessoriskola är en fristående skola i Uppsala. Vi har drygt 85 medarbetare och ca 550 barn/elever (inklusive barn i förskolan). Barnen kan börja i förskolan som ettåringar och kan vara kvar i vår skola till och med årskurs 9. Vi har motiverade elever och engagerade föräldrar. Glunten är en arbetsplats med många engagerade, flexibla och kompetenta medarbetare.",https://www.linkedin.com/jobs/search/?currentJobId=4281534633&keywords=&location=Sweden&start=625
Communications Manager (Europe Regional Office),International Vaccine Institute (IVI),"Stockholm, Stockholm County, Sweden",2 weeks ago,Over 100 people clicked apply,"On-site Full-time Mid-Senior level
Skills: Strategic Communication, English writing, +8 more","About the job
***Please submit the resume in English.

We are seeking a Communications Manager for a 2-year-regular position (renewable) to work within the Europe Regional Office at the International Vaccine Institute in Stockholm, Sweden. (Duty station: Stockholm, Sweden)




Job Description

This job is an integral part of the IVI Europe Regional Office (IERO) as well as providing support to the Austria Country Office (ACO). The position closely collaborates with the Global Affairs & Communications team at IVI headquarters. The role involves developing and implementing communications strategies and overseeing visual materials to strengthen IVI’s European presence and storytelling activities while providing key support to contribute to building key relationships with external stakeholders, existing and potential new member states, and the European
media.



Key Roles & Responsibilities

 1. Support the deployment of European stakeholder engagement and communication plans
Shape the Swedish and European communication strategy in alignment with IVIs Global Communications Strategy.
Develop key messages and implement a yearly editorial calendar with social media campaigns and internal milestones
Support the deployment of the IERO Stakeholder Engagement Plan, including providing communications support for maintaining existing and establishing new relationships with European countries, relevant funding organizations and key stakeholders.
Assist in the development of the IERO and ACO annual reports, the IERO stakeholder engagement report and other relevant reports produced by IERO and ACO.
Develop and oversee Europe’s Goodwill Ambassador program.
Build relationships with communications units of key stakeholders and peer organizations in Europe and beyond, supporting linkages with European-based agencies and networks.


 2. Develop communications materials tailored to European audiences
Lead writing and editing of external communications related to IERO activities including press releases, announcements, speeches, factsheets, newsletters, blogs, project highlights, presentations etc.
Manage IEROs input to IVIs website and social media channels including Facebook, LinkedIn, Twitter, Instagram, and YouTube; provide social media content for IERO and ACO and the IERO
leadership.
Assist internal communications and communications needs of IERO and ACO, and with other IVI departments as needed.
Draft talking points/briefing documents for interviews with media, and for high-level meetings or events


 3. Manage engagement with European media including major media outlets and secure coverage on IVI/IERO
Develop and update a global media list and support connections with correspondents especially in the European health/vaccine sections.
Coordinate press interviews with European media
Conduct interviews with key IVI stakeholders and create feature articles and blogs

 4. Organize advocacy events and pursue partnership opportunities
Contribute to the conceptualization and execution of high-level events, such as scientific conferences, side-events, workshops, webinars, etc. through providing communication support
Provide support for the IERO leadership at European regional events
Provide support in the communications activities related to IVIs participation and organization of scientific conferences and workshops


The headquarters of IVI is in Seoul, Korea. The position requires flexibility with regards to time differences between Sweden and Korea. The candidate will be required to participate in both IERO
activities, as well as meetings with the Global Affairs & Communications team at IVI headquarters.





Job Requirements and Qualifications

 1. Education Requirements
BA in communications, journalism, English, international relations, language and literature or related field, or scientific background with substantial experience in
communication, writing and related fields of work


 2. Related Field Work Experience
8+ years of experience with undergraduate degree or 6+ years of experience with a master’s degree in PR and communications, and/or media relations, or scientific communication


 3. Technical and Professional Skills / Knowledge
Excellent skills in English writing and editing
Excellent computer skills (MS Office)
Specialized understanding of media, marketing, public relations and/or scientific communication
Understanding of social media and digital marketing
Photography skills, Photoshop other design software are a plus


 4. Key Competency
Client orientation, communications, strategic thinking, organized, commitment to continuous learning, ability to work independently and in a team


 5. Language Proficiency
Fluent in English; fluency in other European language a plus",https://www.linkedin.com/jobs/search/?currentJobId=4268938112&keywords=&location=Sweden&start=625
Studie- och yrkesvägledare,Academedia,"Stockholm, Stockholm County, Sweden",2 weeks ago,7 people clicked apply,"On-site Full-time Entry level
Skills: Student Consultation, Career Consultation, +8 more","About the job
Studie- och yrkesvägledare till Movant Vuxenutbildning i Stockholm, Bromma

Plats: Stockholm/Bromma

Sista ansökningsdatum: 2025-08-03

Movant Stockholm söker dig som vill arbeta med måluppfyllelse för våra elever och med studieadministration

Vi önskar förstärka vår skola med en studie- och yrkesvägledare. Du blir en del av en serös organisation och av en skola med kunniga, värdegrundsbaserade och glada kollegor.

Dina arbetsuppgifter kommer att bestå av SYV och studieadministration såsom upprättande av studieplaner / yrkespaket, av olika slags studieinformation till våra elever och arbete med att sätta betyg i våra olika system samt övriga närliggande uppgifter. Du kommer även att arbeta med våra elever, så att de når målen med sina studier och på ett elevvårdande sätt, baserat i forskning. Du är en stödresurs i skolans fokus på måluppfyllelse och på att sätta undervisningen i centrum. Du är även en del i att skapa förutsättningar för våra elever att trivas och utvecklas. I dina arbetsuppgifter ingår även arbete med tex ISO, SAM och andra liknande skoluppgifter, som förekommer inom vuxenutbildningen. Du förväntas delta i forum för kollegialt lärande, förstå och lära dig vad det innebär att arbeta på gymnasial nivå inom Komvux och vidareutveckla dig löpande.

Som yrkesprofessionell har du kunskap, erfarenhet och brinner för livslångt lärande och för våra styrdokument.

I din yrkesroll följer du givna instruktioner, är lyhörd och noggrann. Vi förväntar oss att du håller i och håller ut, möter alla med ett vänligt och inkluderande sätt och delar med dig av din kunskap. Du visar stor ödmjukhet för dina kollegors kunskap och för våra elevers olika bakgrund och målbilder. Din personlighet utmärks av en vilja att göra rätt, god samarbetsförmåga, flexibilitet, effektivitet och förmåga till relationsskapande.

Du kommer till omtänksam organisation där du erbjuds kompetensutveckling och goda möjligheter till fler och intressanta utmaningar.

Vi önskar att du i din ansökan besvarar följande 3 frågor:

1-På vilket sätt har du arbetat konkret med studieadministration?

2-Vad tänker du att måluppfyllelse innebär inom vuxenutbildning och mer specifikt inom yrkesvux?

3-Hur kan du bidra på en skola inom vuxenutbildningen, som har sitt säte i Bromma?

Meriterande + Formell kompetens:

Det är ett krav att du har en examen inom studie- och yrkesvägledare och att du har erfarenhet av studieadministration. Det är meriterande med tidigare erfarenhet inom vuxenutbildningen och erfarenhet av elevhälsoarbete.

Tillträdesdag: Snarast, vilket innebär att tjänsten kan tillsättas innan ansökningstiden har gått ut

Placeringsort: Stockholm, Bromma

Tjänstens omfattning: Heltid eller Deltid 75-100% beroende på kunskap och erfarenhet

Anställningsform: Tillsvidare, som inleds med en provanställning på 6 månader

Sista ansökningsdag: 25-08-20. Vi kallar löpande till intervjuer och blir du aktuell, så kontaktas du. Välkommen att skicka in CV, ansökningsbrev, svar på annonsens 3 frågor och motivering till varför du ska kallas till intervju.

Kontaktperson: Har du frågor kring tjänsten är du välkommen att kontakta Rektor Maria Ax, Tfn. 076 – 126 69 77 eller maria.ax@movant.se",https://www.linkedin.com/jobs/search/?currentJobId=4269922283&keywords=&location=Sweden&start=625
Massör,Mihai`s Friskvård & Kiropraktik AB,"Malmo, Skåne County, Sweden",2 days ago,9 applicants,"On-site Part-time
Skills: Health massage, Swedish, +8 more","About the job
företags massage 1 dag i veckan. vi sköter allt så som papper planering , bänk osv",https://www.linkedin.com/jobs/search/?currentJobId=4280804061&keywords=&location=Sweden&start=625
Teamchef till Avarn Arlanda,Avarn Security Sverige,"Sigtuna, Stockholm County, Sweden",2 weeks ago,39 people clicked apply,"On-site Full-time
Skills: Leadership, Team Management, +8 more","About the job
Avarn Security har uppdraget att leverera säkerhetstjänster till Stockholm Arlanda Airport. Vilket innebär skyddsvaktsbemanning som arbetar med bevakning av samhällsviktig anläggning och flygplatskontrollant bemanning som ansvarar för att inga obehöriga personer eller otillåtna föremål passerar säkerhetskontrollerna. Vi har sedan många år tillbaka även levererat säkerhetstjänster till Oslo Lufthavn Gardermoen.

Vi söker en engagerad Teamchef!

Vill du ta en ledande roll där du får möjlighet att påverka både arbetsmiljö och medarbetarnas utveckling? Som Teamchef hos oss får du personalansvar för ett härligt team på vårt objekt, där du leder och coachar dina medarbetare för att nå gemensamma mål. Du kommer att spela en central roll i att skapa en positiv och produktiv arbetsmiljö.

I din roll ansvarar du för att genomföra personalsamtal, inklusive sjuk- och rehabiliteringssamtal, samt löpande uppföljningar för att stödja och utveckla ditt team. Du arbetar proaktivt och administrativt för att säkerställa att allt rullar på enligt våra tydliga riktlinjer, samtidigt som du samarbetar nära med övriga teamchefer och funktioner på arbetsplatsen.

Vi tror på kontinuerlig förbättring och ser arbetsmiljöansvaret som en viktig del i din roll. Därför söker vi en ledare som aktivt arbetar för att skapa en trygg och trivsam arbetsmiljö, där dina medarbetare känner sig motiverade och välmående.

Om du brinner för ledarskap och att skapa en arbetsplats där alla trivs och växer, då är det här rollen för dig!

Vi ser gärna att du har erfarenhet inom Hr-såsom arbetslivserfarenhet eller via studier.

Sök tjänsten redan idag -sista ansökningsdag 2025-08-24.

Tjänsten kan komma tillsättas innan sista ansökningsdag.

Varmt Välkommen in med din ansökan.

Avarn Security har uppnått utmärkelsen som ett Karriärföretag tack vare vårt starka engagemang för medarbetarnas trivsel och utveckling. Genom att skapa en inkluderande och mångfaldsfrämjande företagskultur ger Avarn Security sina anställda möjlighet att trivas och växa i sina roller. Företaget värderar kompetens och erbjuder kontinuerlig utbildning, vilket gör oss till en attraktiv arbetsgivare för de som söker en spännande karriär inom säkerhetsbranschen",https://www.linkedin.com/jobs/search/?currentJobId=4275595340&keywords=&location=Sweden&start=625
JENSEN Komvux i Stockholm söker vikarier inom nätverksteknik/programmering,JENSEN education,"Stockholm, Stockholm County, Sweden",2 days ago,1 person clicked apply,"On-site Full-time
Skills: Operations Management, AV, +3 more","About the job
Nu söker vi yrkeslärarvikarier till JENSEN vuxenutbildning i Stockholm inom nätverksteknik och programmering. Du bestämmer själv när och hur mycket du vill arbeta och får värdefull arbetslivserfarenhet!

JENSEN vuxenutbildning är till för dig som vill utvecklas i din professionella roll och som vill bidra till att våra studerande når framgång. I din roll som lärare på JENSEN vuxenutbildning får du möjlighet att, tillsammans med engagerade kollegor och närvarande chefer, utveckla och tillämpa studieformens möjligheter för vuxna. Du har stor frihet att utforma din undervisning på ett sätt som utmanar och utvecklar dina kursdeltagare.

Arbetsuppgifter och ansvarsområden

Vi söker dig som har möjlighet att rycka in med kort varsel, är flexibel med tider och har möjlighet att arbeta som lärare i klassrum. 
För dig som är behörig lärare finns möjlighet att ta fullt ansvar för undervisningen av våra elever som läser i klassrum inom din ämneskombination.
Motivera och coacha varje elev till goda studieresultat och en positiv kunskapsutveckling enligt nationella styrdokument.
Ha god förmåga att hantera grupper med stor skillnad i förkunskapsnivå och individualisera upplägget i kursen för varje deltagare.
Hantera administrationen kring en kurs utifrån uppsatta rutiner (exempelvis betygsättning, feedback till studerande, introduktion, salsprov etc).
Aktivt bidra till affärsområdets/enhetens hela utveckling och ta ansvar för att verksamheten når sina mål.

Kvalifikationer

Vi söker dig som antingen studerar på högskola/universitet eller som söker ett deltidsjobb. Vi söker särskilt dig som är kompetent inom programmering, nätverksteknik samt har minst ett års yrkeserfarenhet av läraryrket.

Du har vana att arbeta med studerande med olika förkunskapsnivå och förmåga att hjälpa var och en att nå uppsatta mål. Du kan anpassa din kommunikation efter varje individ och har erfarenhet av att genomföra kurser med olika studietakt.

Du har ett stort engagemang och en drivkraft utöver det vanliga. Du undervisar på ett inspirerande sätt och engagerar dig i kursdeltagarna och i deras mål och har ett coachande förhållningssätt. Som person är du kreativ och öppen för nya idéer och synpunkter. Du är lyhörd och har hög ansvarskänsla samt trivs med att arbeta i ett högt tempo.

Du är trygg, uppmärksam och tydlig i ditt bemötande. Du har intresse, vilja och förmåga att hjälpa andra. Som lärare på JENSEN vuxenutbildning behöver du vara en initiativtagande, pedagogisk och kommunikativ person. Du har förmågan och viljan att vara ledaren i klassrummet.

Anställningsform

Tjänsten är en timanställning på heltid/deltid med start enligt överenskommelse.

Din ansökan

Du ansöker genom att registrera din profil och bifoga ett personligt brev och CV i vårt rekryteringssystem. Vi tar enbart emot ansökningar via webben, ansökningar som kommer in på annat sätt behandlas inte. Mer information om vår rekryteringsprocess hittar du på vår hemsida under lediga jobb.

Kontaktuppgifter

Har du frågor om tjänsten och hur det är att jobba hos oss, vänligen kontakta Maria Eriksson och Adam Arsenius (maria.eriksson2@jenseneducation.se; adam.arsenius@jenseneducation.se)

Varmt välkommen med din ansökan!

JENSEN education är ett av Sveriges största privata utbildningsföretag med förtroendet att utbilda drygt 17 000 elever inom fem olika områden – förskola, grundskola, gymnasium, vuxenutbildning samt yrkeshögskola. JENSEN grundades 1996 av Håkan Jensen, företagets vd och ägare, och står för långsiktighet, kvalitet och ansvarstagande. Utbildningskonceptet ”Träning för verkligheten och bildning som mål” genomsyrar all verksamhet.",https://www.linkedin.com/jobs/search/?currentJobId=4280819122&keywords=&location=Sweden&start=625
"Restaurangmedarbetare 50% Malmö, Baltzarsgatan",Holy Greens,"Malmo, Skåne County, Sweden",2 weeks ago,28 people clicked apply,"On-site Full-time Entry level
Skills: Operations Management","About the job
Har du energi, tycker om att ta initiativ och är ansvarstagande? Häng med på vår resa mot en mer hållbar och hälsosam värld!

Vi erbjuder:

Programmet ”Växa och Gro” som ger dig möjlighet att utvecklas inom företaget.
Kollektivavtal – för att säkerställa schyssta arbetsvillkor.
En rolig arbetsplats med fantastiska kollegor.
Friskvård.

Ansök idag. Vi ser fram emot att träffa dig!

ÖVRIG INFORMATION

Anställningsgrad: Deltid 50%

Plats: Baltzarsgatan, Malmö

Lön: Timlön - vi är anslutna till Visita och följer kollektivavtal

Förmåner: Friskvårdsbidrag, förmånlig personallunch, sociala aktiviteter och trevligaste kollegorna.

Vi håller intervjuer löpande och tjänsten kan komma att bli tilsatt innan sista ansökningsdatum.",https://www.linkedin.com/jobs/search/?currentJobId=4271342689&keywords=&location=Sweden&start=650
"Teacher, Substitute",Internationella Engelska Skolan i Sverige AB,"Upplands Väsby, Stockholm County, Sweden",4 days ago,4 people clicked apply,"On-site Full-time Entry level
Skills: English, Teaching, +8 more","About the job
This job is sourced from a job board. Learn More
Internationella Engelska Skolan (IES) is a leading independent school group with academic results far above average and a diverse and energetic staff. Teaching is in both Swedish and English, and the hallways are bilingual. The language of meetings and communication amongst the staff is English.

IES is one of Sweden's largest school groups at compulsory school level with 48 schools and around 32,000 students across the country. IES has grown steadily and maintained quality since 1993.

IES Upplands Väsby söker nu en person som kan arbeta som vikarie för fritids och som vikarierande lärare (F-klass till årskurs 9). Vi söker nu en flexibel och engagerad person som kan täcka upp för frånvarande fritidspersonal och lärare från förskoleklass upp till årskurs 9, inom alla ämnen. Tjänsten är tillgänglig med start så snart som möjligt. Arbetsbeskrivning: Du kommer att arbeta utifrån tydliga instruktioner och lektionsplaneringar som tillhandahålls av den ordinarie läraren. Vissa uppdrag kan planeras i förväg, medan andra kan kräva att du är tillgänglig med kort varsel. Därför ser vi gärna att du har rimligt pendlingsavstånd till Upplands Väsby. Vem är du? Den här rollen passar dig som har erfarenhet av att arbeta med barn, är nyfiken på att undervisa eller arbeta inom fritidsverksamhet. Vi söker dig som är trygg i klassrummet, följer instruktioner med lätthet och trivs med att arbeta med barn i åldrarna 6 till 16 år. Du bör vara lugn, ansvarstagande och ha god kommunikationsförmåga. Flytande engelska är ett krav. Krav: - Giltigt arbetstillstånd för Sverige - Utdrag ur belastningsregistret, enligt lag för arbete med barn Vi lägger stor vikt vid personliga egenskaper och din förmåga att skapa en trygg och inspirerande lärmiljö. Ansökan: Vi tar endast emot ansökningar via IES Careers. Urval och intervjuer sker löpande, och tjänsten kan komma att tillsättas innan sista ansökningsdag. Välkommen med din ansökan!",https://www.linkedin.com/jobs/search/?currentJobId=4280737692&keywords=&location=Sweden&start=650
